hour,day_of_week,vehicles,avg_speed,rain,accidents,traffic_level,tip
6,Monday,420,48,0,0,25,"Traffic is low."
7,Monday,680,38,0,0,45,"Moderate traffic."
8,Monday,950,25,0,1,72,"Heavy traffic. Consider another route."
9,Monday,820,30,0,0,60,"Heavy traffic."
10,Monday,600,40,0,0,38,"Traffic is low."
11,Monday,550,42,0,0,32,"Traffic is low."
12,Monday,720,35,1,0,48,"Moderate traffic."
13,Monday,780,32,1,0,55,"Moderate traffic."
14,Monday,690,36,0,0,45,"Moderate traffic."
15,Monday,760,34,0,0,50,"Moderate traffic."
16,Monday,900,27,0,1,68,"Heavy traffic."
17,Monday,1100,20,0,1,82,"Very heavy traffic. Avoid if possible."
18,Monday,1250,16,1,2,92,"Very heavy traffic. Avoid if possible."
19,Monday,980,24,0,0,75,"Heavy traffic."
20,Monday,720,34,0,0,52,"Moderate traffic."
6,Tuesday,400,50,0,0,22,"Traffic is low."
7,Tuesday,650,40,0,0,42,"Moderate traffic."
8,Tuesday,920,27,0,0,68,"Heavy traffic."
9,Tuesday,800,32,0,0,55,"Moderate traffic."
10,Tuesday,580,43,0,0,35,"Traffic is low."
11,Tuesday,540,45,0,0,30,"Traffic is low."
12,Tuesday,700,37,0,0,45,"Moderate traffic."
13,Tuesday,760,34,0,0,52,"Moderate traffic."
14,Tuesday,680,38,0,0,42,"Moderate traffic."
15,Tuesday,750,35,0,0,48,"Moderate traffic."
16,Tuesday,880,29,0,0,62,"Heavy traffic."
17,Tuesday,1080,22,0,1,80,"Very heavy traffic."
18,Tuesday,1200,18,1,1,90,"Very heavy traffic."
19,Tuesday,950,26,0,0,72,"Heavy traffic."
20,Tuesday,700,36,0,0,50,"Moderate traffic."
